TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
763,,189,1,1
764,,190,1,1
765,,146,10,10
766,,10,7,7
767,,35,3,3
768,,9,1,1
769,,18,1,1
770,,9,22,22
771,,44,5,5
772,,79,1,1
773,,18,25,25
774,,98,1,1
775,,61,4,4
776,,124,1,1
777,,47,3,3
778,,144,3,1
779,,12,7,7
780,,10,31,31
781,,155,2,2
782,,92,4,4
783,,10,13,13
784,,95,4,4
785,,148,3,3
786,,175,3,3
787,,57,47,25
788,,180,1,1
789,,15,30,30
790,,189,1,1
791,,2,34,1
792,,20,60,60
793,,195,1,1
794,,8,30,30
795,,16,3,3
796,,44,4,4
797,,88,1,1
798,,49,11,11
799,,63,9,9
800,,10,50,50
801,,49,22,22
802,,169,1,1
803,,13,44,41
804,,20,22,22
805,,87,10,10
806,,6,59,59
807,,184,1,1
808,,100,2,2
809,,1,88,88
810,,69,3,3
811,,7,11,11
812,,53,5,5
813,,2,33,33
814,,1,54,54
815,,72,2,2
816,,102,1,1
817,,151,2,2
818,,97,4,4
819,,30,34,34
820,,5,44,1
821,,2,111,1
822,,18,3,3
823,,14,32,32
824,,21,2,2
825,,105,1,1
826,,38,2,2
827,,36,2,2
828,,144,2,2
829,,157,3,3
830,,92,3,3
831,,173,1,1
832,,156,5,1
833,,49,16,16
834,,91,3,3
835,,190,1,1
836,,193,1,1
837,,41,19,19
838,,4,22,1
839,,20,3,3
840,,35,15,15
841,,125,3,3
842,,42,14,14
843,,61,14,5
844,,77,4,4
845,,71,10,2
846,,108,34,2
847,,13,17,17
848,,96,24,24
849,,4,90,90
850,,12,11,11
851,,28,48,1
852,,17,52,49
853,,69,3,3
854,,27,2,2
855,,14,30,30
856,,60,1,1
857,,54,2,2
858,,37,7,7
859,,71,6,6
860,,132,2,1
861,,92,4,4
862,,46,2,2
863,,67,2,2
864,,3,72,1
865,,21,4,4
866,,122,3,3
867,,158,1,1
868,,115,7,7
869,,16,11,11
870,,71,7,7
871,,169,1,1
872,,32,28,28
873,,8,30,30
874,,70,5,5
875,,54,13,13
876,,140,5,5
877,,194,1,1
878,,83,3,3
879,,1,33,10
880,,75,1,1
881,,16,3,3
882,,124,5,3
883,,161,2,2
884,,36,30,4
885,,173,2,2
886,,129,10,1
887,,14,8,8
888,,184,1,1
889,,25,20,20
890,,26,7,7
891,,180,2,2
892,,57,5,1
893,,27,6,6
894,,102,3,3
895,,27,4,4
896,,64,4,4
897,,55,20,18
898,,185,3,3
899,,48,17,2
900,,1,6,6
901,,9,35,35
902,,18,2,2
903,,37,3,3
904,,132,1,1
905,,49,2,2
906,,138,2,2
907,,65,6,6
908,,74,40,17
909,,190,1,1
910,,2,26,1
911,,40,73,4
912,,70,1,1
913,,27,2,2
914,,55,18,16
915,,70,10,10
916,,58,3,3
917,,23,4,4
918,,2,48,48
919,,134,9,9
920,,108,7,7
921,,91,8,4
922,,1,120,120
923,,71,2,2
924,,105,2,2
925,,128,1,1
926,,138,1,1
927,,68,2,2
928,,83,4,4
929,,82,35,35
930,,47,21,21
931,,112,12,1
932,,195,1,1
933,,72,16,16
934,,38,35,35
935,,29,17,1
936,,83,1,1
937,,146,2,1
938,,147,1,1
939,,109,2,2
940,,81,3,3
941,,12,6,6
942,,71,16,16
943,,11,26,26
944,,80,21,21
945,,141,9,1
946,,18,4,4
947,,3,75,75
948,,73,36,1
949,,67,21,21
950,,127,3,1
951,,48,2,2
952,,80,2,2
953,,125,1,1
954,,44,5,3
955,,135,1,1
956,,158,1,1
957,,19,15,15
958,,17,110,39
959,,190,1,1
960,,70,51,1
961,,9,37,1
962,,25,3,3
963,,67,2,2
964,,44,4,2
965,,160,1,1
966,,25,5,5
967,,171,1,1
968,,76,7,7
969,,172,3,3
970,,180,2,2
971,,21,22,22
972,,78,25,13
973,,4,37,37
974,,120,2,2
975,,122,1,1
976,,94,2,2
977,,12,14,14
978,,75,2,2
979,,84,3,3
980,,31,16,16
981,,15,45,45
982,,80,11,11
983,,173,1,1
984,,10,41,41
985,,45,27,27
986,,40,17,17
987,,63,54,11
988,,66,28,28
989,,7,18,2
990,,83,2,2
991,,58,30,1
992,,2,2,2
993,,1,8,8
994,,81,1,1
995,,97,1,1
996,,117,1,1
997,,127,1,1
998,,155,1,1
999,,123,2,1
1000,,26,5,5
1001,,148,3,3
1002,,128,12,10
1003,,25,6,6
1004,,9,43,10
1005,,191,1,1
1006,,64,23,23
1007,,2,44,44
1008,,200,1,1
1009,,37,4,4
1010,,44,2,2
1011,,88,1,1
1012,,33,17,1
1013,,59,3,3
1014,,68,32,3
1015,,58,29,29
1016,,177,1,1
1017,,21,18,18
1018,,183,1,1
1019,,63,19,19
1020,,80,16,16
1021,,190,2,2
1022,,97,2,2
1023,,22,23,23
1024,,195,1,1
1025,,172,3,3
1026,,35,3,3
1027,,69,14,14
1028,,77,1,1
1029,,47,2,2
1030,,33,2,2
1031,,97,2,2
1032,,11,17,17
1033,,6,44,44
1034,,128,1,1
1035,,99,2,2
